"","HH","TH","Truth"
"352",0,0,0.15
"353",0,0,0.15
"354",0.166666666666667,0.182369425326181,0.1475
"355",0,0,0.14
"356",0.138888888888889,0.167837169676833,0.1175
"357",0,0,0.1425
"358",0,0,0.1325
"359",0,0,0.1775
"360",0.345833333333333,0.380780687212923,0.155
"361",0.290909090909091,0.325480249170375,0.1675
"362",0.251851851851852,0.335340053052615,0.17
"363",0.183333333333333,0.20740702593026,0.145
"364",0,0,0.1475
"365",0.2375,0.256990886021932,0.1825
"366",0.171428571428571,0.183432741877443,0.14
"367",0.2,0.218843310391417,0.135
"368",0,0,0.16
"369",0.154545454545455,0.172911382371762,0.1575
"370",0.4,0.452524420211477,0.14
"371",0.185714285714286,0.231857037035148,0.165
"372",0,0,0.1325
"373",0,0,0.135
"374",0,0,0.1075
"375",0.476923076923077,0.545548469628711,0.12
"376",0.153846153846154,0.175983377299584,0.1375
"377",0.388095238095238,0.444651988014746,0.1625
"378",0.2,0.24168552433464,0.12
"379",0.15,0.185251020367815,0.15
"380",0.227272727272727,0.254281444664356,0.175
"381",0.185714285714286,0.198718803700563,0.1
"382",0,0,0.1325
"383",0,0,0.1675
"384",0.35,0.376618403412661,0.1575
"385",0,0,0.1225
"386",0.2,0.214004865523683,0.1225
"387",0.211111111111111,0.255112497908787,0.145
"388",0.1875,0.202887541596262,0.15
"389",0,0,0.1275
"390",0,0,0.18
"391",0,0,0.1625
"392",0,0,0.1575
"393",0.335714285714286,0.366504697672713,0.175
"394",0,0,0.16
"395",0,0,0.175
"396",0.25,0.270516722128349,0.145
"397",0.18,0.199165250457117,0.1575
"398",0,0,0.155
"399",0,0,0.16
"400",0.192857142857143,0.223054966097388,0.18
"401",0.2,0.199999999999998,0.1475
"402",0,0,0.1525
"403",0.155555555555556,0.170211463637769,0.13
"404",0.41,0.438104946480726,0.1575
"405",0.133333333333333,0.145895540260945,0.155
"406",0.341428571428571,0.386371595296066,0.155
"407",0.188888888888889,0.206685348703005,0.1475
"408",0.525490196078431,0.604656182332672,0.17
"409",0.3,0.313877780415753,0.17
"410",0,0,0.135
"411",0,0,0.16
"412",0.311111111111111,0.340422927275537,0.1575
"413",0,0,0.155
"414",0.413333333333333,0.463137828913812,0.1825
"415",0,0,0.14
"416",0,0,0.15
"417",0.39047619047619,0.487494282996978,0.1325
"418",0.157142857142857,0.168146680054323,0.12
"419",0,0,0.1175
"420",0,0,0.16
"421",0,0,0.1575
"422",0.4,0.51579331414657,0.13
"423",0,0,0.1425
"424",0,0,0.14
"425",0.166666666666667,0.182369425326181,0.135
"426",0.1375,0.148784197170592,0.13
"427",0.4,0.488664960685088,0.145
"428",0,0,0.125
"429",0,0,0.135
"430",0,0,0.105
"431",0,0,0.1625
"432",0,0,0.155
"433",0,0,0.1825
"434",0,0,0.1675
"435",0,0,0.1625
"436",0.177777777777778,0.194527387014593,0.145
"437",0,0,0.1675
"438",0,0,0.1625
"439",0.2,0.22129472273013,0.145
"440",0,0,0.1725
"441",0,0,0.145
"442",0,0,0.135
"443",0.589230769230769,0.665784300522145,0.1575
"444",0.176923076923077,0.202380883894522,0.1575
"445",0,0,0.16
"446",0.214285714285714,0.229290927346803,0.1275
"447",0,0,0.1575
"448",0.4,0.437686620782834,0.16
"449",0.2,0.223767671304633,0.16
"450",0.175,0.189361705489845,0.1325
"451",0,0,0.15
"452",0.533333333333333,0.550309384133213,0.16
"453",0,0,0.165
"454",0.2,0.199999999999998,0.115
